rainfall_mm,rainy_days,mushroom_species,growth_rate_g,harvest_time
59.93428306022466,8,King Oyster,151.84921869669367,2023-01-01
47.23471397657631,13,King Oyster,248.85900004065365,2023-01-02
62.953770762013846,4,Oyster,202.09900322350114,2023-01-03
80.46059712816052,0,King Oyster,193.13640914510918,2023-01-04
45.31693250553328,2,Shiitake,193.79338055591703,2023-01-05
45.317260861016386,9,King Oyster,237.01704089738692,2023-01-06
81.58425631014782,11,King Oyster,177.37688838276654,2023-01-07
65.34869458305818,7,Shiitake,238.8524897451804,2023-01-08
40.610512281300956,14,Oyster,252.27855841731585,2023-01-09
60.85120087171929,10,Shiitake,182.89291436973093,2023-01-10
40.73164614375075,5,King Oyster,153.6976690394261,2023-01-11
40.68540492859486,7,Oyster,174.3517341182189,2023-01-12
54.839245431320684,8,King Oyster,235.50546201819768,2023-01-13
11.73439510684404,3,Shiitake,204.62394357755485,2023-01-14
15.501643349739346,0,Shiitake,231.50374693005037,2023-01-15
38.754249415180546,13,King Oyster,288.14687361516144,2023-01-16
29.743377593311525,0,Chicken Leg,211.54768614725666,2023-01-17
56.28494665190548,9,Chicken Leg,159.55315543048195,2023-01-18
31.83951848957578,3,Shiitake,252.87117544311883,2023-01-19
21.75392597329417,11,Shiitake,202.56804297398176,2023-01-20
79.31297537843108,13,Chicken Leg,243.62235788302266,2023-01-21
45.48447399026929,6,Chicken Leg,253.30992720488692,2023-01-22
51.35056409375848,1,King Oyster,152.04959517866106,2023-01-23
21.505036275730866,2,King Oyster,269.10023020859717,2023-01-24
39.11234550949635,0,Chicken Leg,245.25609799782796,2023-01-25
52.21845179419732,4,King Oyster,169.80478137577356,2023-01-26
26.980128451553945,0,King Oyster,215.22245599354264,2023-01-27
57.51396036691344,7,Oyster,212.86037454900534,2023-01-28
37.9872262016239,0,King Oyster,201.19659072329185,2023-01-29
44.166125004134464,10,Shiitake,243.59569944061963,2023-01-30
37.96586775541206,0,King Oyster,271.86781641667636,2023-01-31
87.04556369017875,1,King Oyster,200.3653186370316,2023-02-01
49.730055505241324,1,Chicken Leg,266.5440663986043,2023-02-02
28.84578142088199,11,Shiitake,249.4101305252056,2023-02-03
66.45089824206377,5,King Oyster,211.61480790882024,2023-02-04
25.583127000579555,6,King Oyster,208.80904610261607,2023-02-05
54.17727190009511,4,Oyster,142.37173141699924,2023-02-06
10.806597522404488,0,King Oyster,124.9615803396413,2023-02-07
23.43627902203139,0,King Oyster,208.2511399054669,2023-02-08
53.93722471738247,2,Oyster,157.2035541085316,2023-02-09
64.76933159990821,13,Chicken Leg,198.01819289801904,2023-02-10
53.42736562379941,1,King Oyster,173.2668629074968,2023-02-11
47.68703435223519,4,Oyster,110.57517475097517,2023-02-12
43.977926088214225,11,Shiitake,217.8652270968317,2023-02-13
20.42956019265145,9,Chicken Leg,179.27340973050542,2023-02-14
35.60311583210583,5,Shiitake,204.00993562704073,2023-02-15
40.78722458080425,6,Shiitake,155.34398631853884,2023-02-16
71.1424445243783,3,Oyster,183.25913763026333,2023-02-17
56.872365791369226,6,King Oyster,278.01900705664394,2023-02-18
14.73919689274532,10,Oyster,206.42755000355405,2023-02-19
56.4816793878959,7,Oyster,227.47881725313337,2023-02-20
42.29835439167367,10,Oyster,136.456409656198,2023-02-21
36.461559993880826,0,Oyster,319.45179786962314,2023-02-22
62.23352577681736,14,Chicken Leg,292.1706879160267,2023-02-23
70.61999044991902,5,King Oyster,268.1717745475852,2023-02-24
68.62560238232398,7,Shiitake,241.43829888024374,2023-02-25
33.21564953554723,4,Shiitake,200.7571639129932,2023-02-26
43.81575248297571,3,King Oyster,222.10370084333658,2023-02-27
56.62526862807128,1,Shiitake,252.4009871997476,2023-02-28
69.51090254244718,5,King Oyster,168.57151262621468,2023-03-01
40.4165152430942,5,Shiitake,177.77506278904087,2023-03-02
46.286820466723654,10,Oyster,116.54338204547341,2023-03-03
27.873300519879436,14,Shiitake,161.40904611216223,2023-03-04
26.075867518386584,0,King Oyster,283.0650865304077,2023-03-05
66.25051644788397,8,King Oyster,183.28764544248162,2023-03-06
77.12480057141646,11,King Oyster,184.10765467447084,2023-03-07
48.55979756839332,10,King Oyster,215.88835162185592,2023-03-08
70.07065795784048,5,King Oyster,119.38863464127382,2023-03-09
57.23272050095268,12,Chicken Leg,247.26908450437836,2023-03-10
37.09760490789751,2,Chicken Leg,263.32034276864374,2023-03-11
57.227912110168276,3,Shiitake,218.86481327302045,2023-03-12
80.76073132931938,11,King Oyster,282.5675493239745,2023-03-13
49.283479217800966,10,Shiitake,133.65841169320515,2023-03-14
81.29287311628012,3,King Oyster,292.1857898875923,2023-03-15
-2.394902081794889,2,King Oyster,163.4629298385173,2023-03-16
66.43805008750448,9,Chicken Leg,136.0040133368435,2023-03-17
51.74094136476342,2,Chicken Leg,188.13040193966654,2023-03-18
44.01985299068265,14,Oyster,293.60028402361525,2023-03-19
51.835215530710045,2,Chicken Leg,199.0278929550226,2023-03-20
10.248621707982146,3,Oyster,153.37041717194595,2023-03-21
45.60656224324976,6,Oyster,135.252876276007,2023-03-22
57.14225143023493,3,Oyster,194.7440747626793,2023-03-23
79.55788089483032,8,Oyster,100.25192142211753,2023-03-24
39.63459563452705,0,Oyster,134.990357920328,2023-03-25
33.830127942136244,7,Shiitake,277.1533825929542,2023-03-26
39.96485912830927,6,Chicken Leg,266.1631903575618,2023-03-27
68.30804235404148,1,Oyster,193.57939267301458,2023-03-28
56.57502219319369,7,King Oyster,176.71676143727268,2023-03-29
39.404795924659226,0,Chicken Leg,202.9254451153422,2023-03-30
60.26534866226712,10,Chicken Leg,317.39984642251613,2023-03-31
51.941550986960806,11,Oyster,220.24877543852625,2023-04-01
69.37289981065778,8,Shiitake,245.48690874799084,2023-04-02
35.95893812245295,8,Oyster,189.87712370842243,2023-04-03
43.44675706804463,1,Shiitake,203.044830355858,2023-04-04
42.15783693735685,6,King Oyster,232.3581348393522,2023-04-05
20.72970103735763,14,Chicken Leg,206.30474139120145,2023-04-06
55.922405541291525,13,King Oyster,105.13115087556712,2023-04-07
55.221105443597786,9,Shiitake,264.0270380838732,2023-04-08
50.102269132849216,2,Shiitake,169.24331611143347,2023-04-09
45.308257332497064,6,King Oyster,305.56588208081257,2023-04-10
